Report generated on: 04-19-2021 22:48:19
"API","","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"INTL.82-12-ALB-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-ALB-BKWH.A","    Consumption (billion kWh)","1.659","1.715","1.443","1.727","2.017","2.152","2.79","2.084","2.2","3.482","3.75836","3.54878","4.54556","4.11058","3.7776","3.7388","2.99142","3.69368","4.053","4.302","4.42477","5.14194","4.32265","4.48241","4.85676","5.04005","5.67818","5.03175"
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-DZA-BKWH.A","    Generation (billion kWh)","15.145","16.319","17.199","18.267","18.703","18.09","19.124","19.739","21.448","23.282","23.88952","25.03064","25.99154","27.80964","29.38706","31.9074","33.12352","34.9758","37.83582","36.206","42.9985","48.17578","53.9846","56.3135","60.40082","64.68244","66.75504","71.49546"
"INTL.27-12-DZA-BKWH.A","        Nuclear (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.28-12-DZA-BKWH.A","        Fossil fuels (billion kWh)","15.011","16.029","17.002","17.918","18.539","17.899","18.99","19.665","21.235","23.081","23.83652","24.96264","25.93554","27.54764","29.13906","31.3584","32.90752","34.7518","37.55582","35.903","42.8264","47.67868","53.3685","55.9864","60.14872","64.46144","66.42322","70.86002"
"INTL.29-12-DZA-BKWH.A","        Renewables (billion kWh)","0.134","0.29","0.197","0.349","0.164","0.191","0.134","0.074","0.213","0.201","0.053","0.068","0.056","0.262","0.248","0.549","0.216","0.224","0.28","0.303","0.1721","0.4971","0.6161","0.3271","0.2521","0.221","0.33182","0.63544"
"INTL.33-12-DZA-BKWH.A","            Hydroelectricity (billion kWh)","0.134","0.29","0.197","0.349","0.164","0.191","0.134","0.074","0.213","0.201","0.053","0.068","0.056","0.262","0.248","0.549","0.216","0.224","0.28","0.303","0.172","0.497","0.616","0.327","0.251","0.144","0.21582","0.05544"
"INTL.34-12-DZA-BKWH.A","            Non-hydroelectric renewables (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0011","0.077","0.116","0.58"
"INTL.35-12-DZA-BKWH.A","                Geothermal (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.36-12-DZA-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.058","0.087","0.572"
"INTL.117-12-DZA-BKWH.A","                    Tide and wave (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.116-12-DZA-BKWH.A","                    Solar (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.058","0.087","0.572"
"INTL.37-12-DZA-BKWH.A","                Wind (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.019","0.029","0.008"
"INTL.38-12-DZA-BKWH.A","                Biomass and waste (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.82-12-DZA-BKWH.A","        Hydroelectric pumped storage (billion kWh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-2-DZA-BKWH.A","    Consumption (billion kWh)","12.734","13.034","14.035","14.039","14.365","14.474","15.172","15.365","16.905","18.492","19.71552","20.64764","21.62354","23.61164","24.42506","27.5164","26.91052","28.3348","30.49982","28.315","33.8405","38.13478","42.8676","45.2015","49.20682","53.45544","55.82304","60.28346"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-ASM-BKWH.A","    Generation (billion kWh)","0.094","0.102","0.102","0.115","0.122","0.129","0.134","0.141","0.147","0.152","0.159","0.161","0.168","0.177","0.177","0.178","0.181","0.184","0.187","0.178","0.159","0.155","0.157","0.156","0.156","0.163","0.17","0.167"
